contact_id,pseudo_patient_id,timestamp,channel,service_line,raw_text,intent,category,journey_stage,root_cause,sentiment,urgency,default_route,safety_sensitive,chatbot_eligible,proactive_candidate,synthetic_issue_pattern,repeat_contact_14d,clean_text,redaction_count,redaction_email,redaction_phone,redaction_date_of_birth,redaction_postcode,redaction_nhs_number_like,redaction_order_reference,redaction_named_person,redaction_gp_surgery,redaction_street_address,text_length,token_count,is_short_text,is_empty_text,predicted_intent,prediction_confidence,prediction_correct,recommended_route,predicted_sentiment,sentiment_confidence
C0023217,P004824,2026-04-27 12:25:25,live_chat,NHS prescription,"The medicine parcel is delayed after dispatch Also, Tracking says delivered but there is no parcel here.",delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False,the medicine parcel is delayed after dispatch also tracking says delivered but there is no parcel here,0,0,0,0,0,0,0,0,0,0,102,17,False,False,delivery_delayed,0.7629435453219606,True,Proactive message,negative,0.9985464207647118
C0022613,P001611,2026-04-24 11:32:31,live_chat,NHS prescription,hi - I received a dispatch message for the wrong order. email sam67@example.com,wrong_notification,Reminders and notifications,Notifications,Incorrect or confusing message,negative,standard,Human adviser,False,False,False,standard_known_intent,False,hi - i received a dispatch message for the wrong order email [email],1,1,0,0,0,0,0,0,0,0,68,13,False,False,wrong_notification,0.8818819765656198,True,Human adviser,negative,0.9445412858130108
C0021190,P006370,2026-04-17 01:24:19,app_review,NHS prescription,App issue: Royal Mail tracking has not moved and my delivery is late,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False,app issue royal mail tracking has not moved and my delivery is late,0,0,0,0,0,0,0,0,0,0,67,13,False,False,delivery_delayed,0.9207909159063542,True,Proactive message,negative,0.9831960241866023
C0012735,P001786,2026-03-05 16:46:22,email,NHS prescription,Please help. The delivery status has not changed asap,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False,please help the delivery status has not changed as soon as possible,0,0,0,0,0,0,0,0,0,0,67,12,False,False,delivery_delayed,0.2828590016073283,True,Human adviser,negative,0.5910980746757979
C0001691,P007194,2026-01-09 11:45:14,phone_transcript,NHS prescription,hello um The meds parcel is delayed after dispatch.,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,priority,Proactive message,False,True,True,standard_known_intent,False,hello um the medicine parcel is delayed after dispatch,0,0,0,0,0,0,0,0,0,0,54,9,False,False,delivery_delayed,0.9447838153643544,True,Proactive message,negative,0.9942668459161929
C0016366,P005297,2026-03-23 13:14:04,social,NHS prescription,"pls respond: One item is out of stock, when will it be available?.",medicine_unavailable,Clinical and dispensing,Dispensing,Stock availability issue,negative,standard,Human adviser,False,False,False,standard_known_intent,True,please respond one item is out of stock when will it be available,0,0,0,0,0,0,0,0,0,0,65,13,False,False,medicine_unavailable,0.9240808770632042,True,Human adviser,negative,0.9768065516878504
C0020521,P005249,2026-04-13 20:11:09,phone_transcript,NHS prescription,"please can you help, The app did not remind me to request my tablets please",reminder_missing,Reminders and notifications,Notifications,Reorder reminder not received,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,True,please can you help the app did not remind me to request my tablets please,0,0,0,0,0,0,0,0,0,0,74,15,False,False,reminder_missing,0.9491180326977804,True,Chatbot or FAQ self-service,neutral,0.5586258445709168
C0003621,P000336,2026-01-18 22:27:40,email,NHS prescription,"Hello, The parcel is missing even though it says delivered Also, The medicine parcel is delayed after dispatch!!!",parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,standard,Human adviser,False,False,False,standard_known_intent,True,hello the parcel is missing even though it says delivered also the medicine parcel is delayed after dispatch,0,0,0,0,0,0,0,0,0,0,108,18,False,False,parcel_not_received,0.8013753937985734,True,Human adviser,negative,0.9972622778134728
C0024152,P002293,2026-05-02 09:31:33,email,NHS prescription,"Hello, The doctor-related status looks wrong please",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,priority,Proactive message,False,True,True,standard_known_intent,False,hello the doctor-related status looks wrong please,0,0,0,0,0,0,0,0,0,0,50,7,False,False,waiting_gp_approval,0.6831527817523948,True,Human adviser,negative,0.981964716114728
C0019643,P005791,2026-04-09 05:19:37,social,NHS prescription,@support The parcel is missing even though it says delivered thanks,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,standard,Human adviser,False,False,False,standard_known_intent,False,@support the parcel is missing even though it says delivered thanks,0,0,0,0,0,0,0,0,0,0,67,11,False,False,parcel_not_received,0.9128336604689982,True,Human adviser,negative,0.9964533943542196
C0015508,P001620,2026-03-19 05:59:41,phone_transcript,NHS prescription,"please can you help, The prescription is ready but has not left the warehouse",not_dispatched,Dispatch and delivery,Packing,Order packed but not dispatched,negative,standard,Proactive message,False,True,True,standard_known_intent,False,please can you help the prescription is ready but has not left the warehouse,0,0,0,0,0,0,0,0,0,0,76,14,False,False,not_dispatched,0.9344817824409298,True,Proactive message,negative,0.9772415005931372
C0022824,P005633,2026-04-25 10:52:31,phone_transcript,NHS prescription,right so You said my meds is unavailable,medicine_unavailable,Clinical and dispensing,Dispensing,Stock availability issue,negative,standard,Human adviser,False,False,False,standard_known_intent,True,right so you said my medicine is unavailable,0,0,0,0,0,0,0,0,0,0,44,8,False,False,medicine_unavailable,0.9191638262467758,True,Human adviser,negative,0.9882766161417396
C0015544,P005929,2026-03-19 10:24:37,email,NHS prescription,"Dear team, How do I track my medicine delivery?",delivery_tracking,Dispatch and delivery,Dispatched,Customer requests tracking details,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False,dear team how do i track my medicine delivery,0,0,0,0,0,0,0,0,0,0,45,9,False,False,delivery_tracking,0.9101165607795656,True,Chatbot or FAQ self-service,neutral,0.5945595588784591
C0028639,P000185,2026-05-25 04:49:12,live_chat,NHS prescription,pls help: The request is missing from my account asap,prescription_not_received,Prescription request,Request,Prescription request not visible,negative,standard,Human adviser,False,False,False,standard_known_intent,False,please help the request is missing from my account as soon as possible,0,0,0,0,0,0,0,0,0,0,70,13,False,False,prescription_not_received,0.925464496733942,True,Human adviser,negative,0.9836273213490024
C0014829,P000528,2026-03-15 15:53:25,phone_transcript,NHS prescription,hello um My GP says they sent the prescription but it is not showing,prescription_not_received,Prescription request,Request,Prescription request not visible,negative,priority,Human adviser,False,False,False,standard_known_intent,False,hello um my gp says they sent the prescription but it is not showing,0,0,0,0,0,0,0,0,0,0,68,14,False,False,prescription_not_received,0.9091105326748034,True,Human adviser,negative,0.9951509187277392
C0018513,P000825,2026-04-03 08:46:42,email,NHS prescription,"Dear team, You said my meds is unavailable asap NHS number 1111845789",medicine_unavailable,Clinical and dispensing,Dispensing,Stock availability issue,negative,priority,Human adviser,False,False,False,standard_known_intent,True,dear team you said my medicine is unavailable as soon as possible nhs number [nhs_number],1,0,0,0,0,1,0,0,0,0,89,15,False,False,medicine_unavailable,0.7152829094430426,True,Human adviser,negative,0.9435131639519604
C0006981,P001473,2026-02-05 06:13:17,social,NHS prescription,@support The app did not remind me to request my tablets pls,reminder_missing,Reminders and notifications,Notifications,Reorder reminder not received,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False,@support the app did not remind me to request my tablets please,0,0,0,0,0,0,0,0,0,0,63,12,False,False,reminder_missing,0.9348113252940526,True,Chatbot or FAQ self-service,neutral,0.5861700781071472
C0000708,P004256,2026-01-04 11:42:51,phone_transcript,NHS prescription,hello um Can you tell me what is happening with my parcel? thanks,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,priority,Proactive message,False,True,True,standard_known_intent,False,hello um can you tell me what is happening with my parcel thanks,0,0,0,0,0,0,0,0,0,0,64,13,False,False,delivery_delayed,0.3677296953771524,True,Human adviser,negative,0.6570442604435139
C0026992,P004705,2026-05-17 00:29:26,phone_transcript,NHS prescription,hello um The prescription was declined by the surgery thanks,gp_declined_request,GP approval,Await GP approval,GP declined or changed request,negative,priority,Human adviser,False,False,False,standard_known_intent,False,[gp_surgery] thanks,1,0,0,0,0,0,0,0,1,0,19,2,True,False,gp_declined_request,0.747560187401986,True,Human adviser,negative,0.9332242315373758
C0024754,P004866,2026-05-05 09:38:08,live_chat,NHS prescription,"I need to request my usual tablets again Also, Can you release an early repeat pls?",repeat_prescription_request,Prescription request,Request,Routine repeat request,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False,i need to request my usual tablets again also can you release an early repeat please,0,0,0,0,0,0,0,0,0,0,84,16,False,False,repeat_prescription_request,0.7258851971884105,True,Chatbot or FAQ self-service,neutral,0.6282658405225007
C0000440,P007352,2026-01-03 03:41:02,email,NHS prescription,"Dear team, I forgot my password and cannot access my prescription.",login_issue,Account management,Account,Account access problem,negative,standard,FAQ self-service,False,True,False,standard_known_intent,False,dear team i forgot my password and cannot access my prescription,0,0,0,0,0,0,0,0,0,0,64,11,False,False,login_issue,0.9143442155939068,True,Chatbot or FAQ self-service,negative,0.9922993515957624
C0003449,P004921,2026-01-18 01:22:23,email,NHS prescription,Please help. My prescrption is still waiting and I do not know why!!! from Spring Lane Practice,waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,standard,Proactive message,False,True,True,standard_known_intent,False,please help my prescription is still waiting and i do not know why [gp_surgery],1,0,0,0,0,0,0,0,1,0,79,14,False,False,gp_declined_request,0.616831198540278,False,Human adviser,negative,0.9943940268160496
C0024488,P003404,2026-05-04 01:30:31,live_chat,NHS prescription,hello I forgot my password and cannot access my prescrption.,login_issue,Account management,Account,Account access problem,negative,standard,FAQ self-service,False,True,False,standard_known_intent,False,hello i forgot my password and cannot access my prescription,0,0,0,0,0,0,0,0,0,0,60,10,False,False,login_issue,0.9323603105086028,True,Chatbot or FAQ self-service,negative,0.9946746877241212
C0022206,P004709,2026-04-22 13:17:07,live_chat,NHS prescription,"hi - The app did not remind me to request my tablets Also, I received a dispatch message for the wrong order!!!",reminder_missing,Reminders and notifications,Notifications,Reorder reminder not received,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False,hi - the app did not remind me to request my tablets also i received a dispatch message for the wrong order,0,0,0,0,0,0,0,0,0,0,107,22,False,False,reminder_missing,0.7651700688754762,True,Chatbot or FAQ self-service,neutral,0.4422140139505738
C0000414,P003066,2026-01-03 01:13:18,live_chat,NHS prescription,pls help: The medicine parcel is delayed after dispatch!!!,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,priority,Proactive message,False,True,True,standard_known_intent,False,please help the medicine parcel is delayed after dispatch,0,0,0,0,0,0,0,0,0,0,57,9,False,False,delivery_delayed,0.943644066347606,True,Proactive message,negative,0.9934090547520544
C0025603,P004867,2026-05-10 00:14:24,app_review,Online Doctor or shop,App issue: Where is my Online Doctor order? asap,online_doctor_order_status,Online Doctor and shop,Shop or Online Doctor,Private service order status,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False,app issue where is my online doctor order as soon as possible,0,0,0,0,0,0,0,0,0,0,61,12,False,False,online_doctor_order_status,0.9209302567494174,True,Chatbot or FAQ self-service,neutral,0.6445226702848499
C0010545,P005244,2026-02-22 13:21:45,phone_transcript,NHS prescription,hi I am calling because I want to make a complaint about the service!!!,complaint_service,Service access,Service,General service complaint,negative,standard,Human adviser,False,False,False,standard_known_intent,False,hi i am calling because i want to make a complaint about the service,0,0,0,0,0,0,0,0,0,0,68,14,False,False,complaint_service,0.915555378686027,True,Human adviser,negative,0.9898520527450788
C0023750,P005533,2026-04-30 08:55:46,email,NHS prescription,pls help. I moved house and need to update my address,change_delivery_address,Account management,Account,Delivery address needs update,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False,please help i moved house and need to update my address,0,0,0,0,0,0,0,0,0,0,55,11,False,False,change_delivery_address,0.931727077945645,True,Chatbot or FAQ self-service,neutral,0.5299803677113023
C0010222,P004925,2026-02-21 00:55:21,phone_transcript,NHS prescription,"right so The app says awaiting GP approval for days Also, My medicine has been in clinical review since yesterday asap",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,standard,Proactive message,False,True,True,standard_known_intent,False,right so the app says awaiting gp approval for days also my medicine has been in clinical review since yesterday as soon as possible,0,0,0,0,0,0,0,0,0,0,132,24,False,False,waiting_gp_approval,0.6815190065399966,True,Human adviser,negative,0.9967671546164308
C0006216,P000524,2026-02-01 12:17:59,phone_transcript,NHS prescription,hello um My prescription should have arrived yesterday asap,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False,hello um my prescription should have arrived yesterday as soon as possible,0,0,0,0,0,0,0,0,0,0,74,12,False,False,delivery_delayed,0.9212053327135336,True,Proactive message,negative,0.990668233928129
C0000353,P001295,2026-01-02 16:49:54,app_review,NHS prescription,App issue: Please get back to me asap,unclear_or_out_of_scope,Out-of-scope,Unknown,Insufficient information,negative,standard,Human adviser,False,False,False,standard_known_intent,False,app issue please get back to me as soon as possible,0,0,0,0,0,0,0,0,0,0,51,11,False,False,unclear_or_out_of_scope,0.7468751449555241,True,Human adviser,neutral,0.7979486603484405
C0001573,P002518,2026-01-08 19:46:04,phone_transcript,NHS prescription,"pls can you help, My medicine order has not arrived yet",not_dispatched,Dispatch and delivery,Packing,Order packed but not dispatched,negative,priority,Proactive message,False,True,True,standard_known_intent,False,please can you help my medicine order has not arrived yet,0,0,0,0,0,0,0,0,0,0,57,11,False,False,delivery_delayed,0.3173121340983027,False,Human adviser,negative,0.552010162812522
C0017767,P003030,2026-03-30 12:51:13,phone_transcript,NHS prescription,"hi I am calling because The app says awaiting GP aproval for days Also, The order is stuck at clinical review.",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,priority,Proactive message,False,True,True,standard_known_intent,False,hi i am calling because the app says awaiting gp approval for days also the order is stuck at clinical review,0,0,0,0,0,0,0,0,0,0,109,21,False,False,waiting_gp_approval,0.7561431168267446,True,Proactive message,negative,0.9975978979728296
C0009385,P001901,2026-02-16 21:58:13,phone_transcript,NHS prescription,"please can you help, My medicine has been in clinical review since yesterday!!!",clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,negative,priority,Human adviser,False,False,False,standard_known_intent,True,please can you help my medicine has been in clinical review since yesterday,0,0,0,0,0,0,0,0,0,0,75,13,False,False,clinical_review_delay,0.934336103594534,True,Human adviser,negative,0.9958688599677892
C0024648,P006719,2026-05-04 20:38:55,live_chat,NHS prescription,"pls help: My order is waiting for GP approval, what should I do?!!!",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,priority,Proactive message,False,True,True,standard_known_intent,True,please help my order is waiting for gp approval what should i do,0,0,0,0,0,0,0,0,0,0,64,13,False,False,waiting_gp_approval,0.9276368569492331,True,Proactive message,negative,0.9978794909913696
C0015131,P002561,2026-03-17 07:01:03,email,NHS prescription,"Dear team, You said my medicine is unavailable.",medicine_unavailable,Clinical and dispensing,Dispensing,Stock availability issue,negative,standard,Human adviser,False,False,False,standard_known_intent,False,dear team you said my medicine is unavailable,0,0,0,0,0,0,0,0,0,0,45,8,False,False,medicine_unavailable,0.9019579375031364,True,Human adviser,negative,0.9872026744518702
C0007514,P000118,2026-02-07 18:40:26,email,NHS prescription,Please help. Why have the reminder texts stopped? asap,reminder_missing,Reminders and notifications,Notifications,Reorder reminder not received,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False,please help why have the reminder texts stopped as soon as possible,0,0,0,0,0,0,0,0,0,0,67,12,False,False,reminder_missing,0.9095337906613996,True,Chatbot or FAQ self-service,neutral,0.538663785367255
C0018278,P004162,2026-04-02 02:53:08,social,NHS prescription,@support The prescription was declined by the surgery asap order no P2U-525405,gp_declined_request,GP approval,Await GP approval,GP declined or changed request,negative,priority,Human adviser,False,False,False,standard_known_intent,False,@[gp_surgery] as soon as possible [order_ref],2,0,0,0,0,0,1,0,1,0,45,6,False,False,gp_declined_request,0.6558026917909904,True,Human adviser,negative,0.8804394721468812
C0010909,P003635,2026-02-24 09:39:09,email,NHS prescription,"Hi support, Royal Mail tracking has not moved and my delivery is late",delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,True,hi support royal mail tracking has not moved and my delivery is late,0,0,0,0,0,0,0,0,0,0,68,13,False,False,delivery_delayed,0.9267591470598676,True,Proactive message,negative,0.9876484824699496
C0027191,P000126,2026-05-18 02:52:02,live_chat,NHS prescription,"hello My order is waiting for GP approval, what should I do?",waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,standard,Proactive message,False,True,True,standard_known_intent,False,hello my order is waiting for gp approval what should i do,0,0,0,0,0,0,0,0,0,0,58,12,False,False,waiting_gp_approval,0.9420888497142116,True,Proactive message,negative,0.9977260386732956
C0011178,P007148,2026-02-25 16:32:19,email,NHS prescription,Please help. Your text message does not match my account thanks,wrong_notification,Reminders and notifications,Notifications,Incorrect or confusing message,negative,standard,Human adviser,False,False,False,standard_known_intent,True,please help your text message does not match my account thanks,0,0,0,0,0,0,0,0,0,0,62,11,False,False,wrong_notification,0.9282705110446176,True,Human adviser,negative,0.9593141076482308
C0001786,P006880,2026-01-09 22:03:29,live_chat,NHS prescription,hi - The parcel is missing even though it says delivered please email jo19@example.com,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,standard,Human adviser,False,False,False,standard_known_intent,False,hi - the parcel is missing even though it says delivered please email [email],1,1,0,0,0,0,0,0,0,0,77,14,False,False,parcel_not_received,0.9076161741757196,True,Human adviser,negative,0.9915700285267096
C0027438,P002483,2026-05-19 04:44:42,app_review,NHS prescription,App issue: My prescription should have arrived yesterday. My phone is 07639489854,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False,app issue my prescription should have arrived yesterday my phone is [phone],1,0,1,0,0,0,0,0,0,0,75,12,False,False,delivery_delayed,0.8747241612745169,True,Proactive message,negative,0.9790892409652348
C0020354,P004912,2026-04-12 23:05:17,live_chat,NHS prescription,hi - These tablets make me dizzy and I feel very unwell asap,possible_adverse_effect,Safety-sensitive,Urgent support,Possible adverse effect or clinical concern,negative,urgent clinical escalation,Clinical escalation,True,False,False,standard_known_intent,False,hi - these tablets make me dizzy and i feel very unwell as soon as possible,0,0,0,0,0,0,0,0,0,0,75,16,False,False,possible_adverse_effect,0.8394106971826121,True,Clinical escalation,negative,0.980713237583835
C0008270,P001103,2026-02-11 11:54:07,live_chat,NHS prescription,hello The parcel is missing even though it says delivered please,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,standard,Human adviser,False,False,False,standard_known_intent,True,hello the parcel is missing even though it says delivered please,0,0,0,0,0,0,0,0,0,0,64,11,False,False,parcel_not_received,0.9457850551242548,True,Human adviser,negative,0.9973932394367622
C0013795,P001547,2026-03-10 21:12:16,phone_transcript,NHS prescription,hello um Can you send the available items now and the missing one later? postcode B15 2TT,split_order_request,Clinical and dispensing,Dispensing,One item delays a multi-item order,neutral,standard,Human adviser,False,False,False,standard_known_intent,False,hello um can you send the available items now and the missing one later postcode [postcode],1,0,0,0,1,0,0,0,0,0,91,16,False,False,split_order_request,0.8683646641301718,True,Human adviser,neutral,0.5590567705832312
C0026842,P003589,2026-05-16 08:42:56,phone_transcript,NHS prescription,right so How do I track my medicine delivery?.,delivery_tracking,Dispatch and delivery,Dispatched,Customer requests tracking details,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,True,right so how do i track my medicine delivery,0,0,0,0,0,0,0,0,0,0,44,9,False,False,delivery_tracking,0.9401728789237136,True,Chatbot or FAQ self-service,neutral,0.5967839642323434
C0008729,P001075,2026-02-13 20:43:14,email,NHS prescription,"Dear team, The app will not let me sign in thanks",login_issue,Account management,Account,Account access problem,negative,standard,FAQ self-service,False,True,False,standard_known_intent,False,dear team the app will not let me sign in thanks,0,0,0,0,0,0,0,0,0,0,48,11,False,False,login_issue,0.9062493495214268,True,Chatbot or FAQ self-service,negative,0.9862418858841452
C0008853,P001633,2026-02-14 11:26:12,phone_transcript,NHS prescription,right so The meds parcel is delayed after dispatch asap order no P2U-115505,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,priority,Proactive message,False,True,True,standard_known_intent,True,right so the medicine parcel is delayed after dispatch as soon as possible [order_ref],1,0,0,0,0,0,1,0,0,0,86,14,False,False,delivery_delayed,0.8540263476207718,True,Proactive message,negative,0.9771592393224868
C0007681,P003787,2026-02-08 15:37:37,live_chat,Online Doctor or shop,Where is my Online Doctor order? asap,online_doctor_order_status,Online Doctor and shop,Shop or Online Doctor,Private service order status,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False,where is my online doctor order as soon as possible,0,0,0,0,0,0,0,0,0,0,51,10,False,False,online_doctor_order_status,0.8999947494658689,True,Chatbot or FAQ self-service,neutral,0.541812367566184
C0011962,P001414,2026-03-01 15:44:18,social,NHS prescription,@support Can someone contact me? please DOB 15/08/1982,unclear_or_out_of_scope,Out-of-scope,Unknown,Insufficient information,neutral,standard,Human adviser,False,False,False,standard_known_intent,True,@support can someone contact me please dob [dob],1,0,0,1,0,0,0,0,0,0,48,8,False,False,unclear_or_out_of_scope,0.8130102860452947,True,Human adviser,neutral,0.6883185406956424
C0025431,P006049,2026-05-09 00:45:10,phone_transcript,NHS prescription,right so My prescription is still waiting and I do not know why!!!,waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,priority,Proactive message,False,True,True,standard_known_intent,True,right so my prescription is still waiting and i do not know why,0,0,0,0,0,0,0,0,0,0,63,13,False,False,waiting_gp_approval,0.6027449492256873,True,Human adviser,negative,0.9957430152869324
C0028239,P005666,2026-05-23 03:38:43,live_chat,NHS prescription,pls help: The request is missing from my account pls My phone is 07255921088 email sam76@example.com,prescription_not_received,Prescription request,Request,Prescription request not visible,negative,priority,Human adviser,False,False,False,standard_known_intent,True,please help the request is missing from my account please my phone is [phone] email [email],2,1,1,0,0,0,0,0,0,0,91,16,False,False,prescription_not_received,0.8685018629347242,True,Human adviser,negative,0.9582747753972598
C0014272,P007209,2026-03-13 00:42:43,app_review,NHS prescription,Not happy. Please split my order because one medicine is delayed!!!,split_order_request,Clinical and dispensing,Dispensing,One item delays a multi-item order,neutral,standard,Human adviser,False,False,False,standard_known_intent,False,not happy please split my order because one medicine is delayed,0,0,0,0,0,0,0,0,0,0,63,11,False,False,split_order_request,0.9098484161550704,True,Human adviser,neutral,0.5260028806437643
C0010685,P000065,2026-02-23 05:28:08,live_chat,NHS prescription,hello Why is my prescription still with my GP? thanks,waiting_gp_approval,GP approval,Await GP approval,GP approval pending,negative,priority,Proactive message,False,True,True,standard_known_intent,True,hello why is my prescription still with my gp thanks,0,0,0,0,0,0,0,0,0,0,52,10,False,False,waiting_gp_approval,0.9491301408388624,True,Proactive message,negative,0.9970872566718284
C0025510,P000178,2026-05-09 11:28:30,app_review,NHS prescription,pls fix this: Please send future prescriptions to my new address asap,change_delivery_address,Account management,Account,Delivery address needs update,positive,standard,FAQ self-service,False,True,False,standard_known_intent,False,please fix this please send future prescriptions to my new address as soon as possible,0,0,0,0,0,0,0,0,0,0,86,15,False,False,change_delivery_address,0.903260479013134,True,Chatbot or FAQ self-service,neutral,0.5524165937555564
