feature,coefficient,outcome,absolute_coefficient
numeric__repeat_flag_share,0.5419114447749793,low_csat,0.5419114447749793
categorical__dominant_predicted_intent_wrong_notification,-0.4980111630373691,low_csat,0.4980111630373691
numeric__contacts,0.4638621369604776,low_csat,0.4638621369604776
categorical__dominant_predicted_intent_unclear_or_out_of_scope,-0.34174531366116895,low_csat,0.34174531366116895
categorical__dominant_predicted_intent_medicine_unavailable,0.33756650995193094,low_csat,0.33756650995193094
categorical__dominant_predicted_intent_reminder_missing,0.323893913631633,low_csat,0.323893913631633
categorical__dominant_predicted_intent_change_delivery_address,-0.2825516100463702,low_csat,0.2825516100463702
categorical__dominant_predicted_intent_waiting_gp_approval,-0.27739258404102185,low_csat,0.27739258404102185
categorical__dominant_predicted_intent_repeat_prescription_request,0.23775777586457786,low_csat,0.23775777586457786
numeric__proactive_message_share,0.22901926514791768,low_csat,0.22901926514791768
categorical__dominant_predicted_intent_split_order_request,0.2217396130197035,low_csat,0.2217396130197035
categorical__dominant_predicted_intent_prescription_not_received,0.21305584901072505,low_csat,0.21305584901072505
categorical__dominant_predicted_intent_login_issue,0.20290272011939722,low_csat,0.20290272011939722
categorical__dominant_predicted_intent_clinical_review_delay,0.19713961666592916,low_csat,0.19713961666592916
categorical__dominant_predicted_intent_gp_declined_request,-0.18401116081677835,low_csat,0.18401116081677835
numeric__human_adviser_share,0.17491786499206075,low_csat,0.17491786499206075
categorical__dominant_channel_live_chat,-0.15708627290584626,low_csat,0.15708627290584626
categorical__dominant_predicted_intent_parcel_not_received,0.15599905098519343,low_csat,0.15599905098519343
categorical__dominant_predicted_intent_delivery_delayed,-0.15202095031759946,low_csat,0.15202095031759946
categorical__dominant_predicted_intent_early_repeat_request,-0.14642234597896514,low_csat,0.14642234597896514
categorical__dominant_predicted_intent_refund_query,-0.1460266388345589,low_csat,0.1460266388345589
categorical__crm_segment_high_support_need,-0.13886503595660565,low_csat,0.13886503595660565
categorical__dominant_predicted_intent_complaint_service,0.13223363261254395,low_csat,0.13223363261254395
numeric__negative_share,0.12925718319668744,low_csat,0.12925718319668744
categorical__dominant_channel_social,-0.11841398805099641,low_csat,0.11841398805099641
categorical__dominant_predicted_intent_urgent_ran_out_medicine,-0.08111183761546087,low_csat,0.08111183761546087
categorical__crm_segment_new,0.07467245695676819,low_csat,0.07467245695676819
numeric__low_confidence_share,-0.07344037154492188,low_csat,0.07344037154492188
categorical__dominant_channel_phone_transcript,0.07106568666705981,low_csat,0.07106568666705981
categorical__dominant_predicted_intent_delivery_tracking,-0.06860418577982051,low_csat,0.06860418577982051
numeric__clinical_escalations,0.06301640093174539,low_csat,0.06301640093174539
categorical__dominant_channel_app_review,0.06137181487686277,low_csat,0.06137181487686277
categorical__dominant_predicted_intent_online_doctor_order_status,0.05313097016905509,low_csat,0.05313097016905509
categorical__dominant_channel_email,0.04504456956201516,low_csat,0.04504456956201516
categorical__crm_segment_routine,-0.03382561085106834,low_csat,0.03382561085106834
