contact_id,pseudo_patient_id,timestamp,channel,service_line,raw_text,intent,category,journey_stage,root_cause,sentiment,urgency,default_route,safety_sensitive,chatbot_eligible,proactive_candidate,synthetic_issue_pattern,repeat_contact_14d
C0000001,P000898,2026-01-01 00:00:35,live_chat,NHS prescription,pls help: My prescription should have arrived yesterday,delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000002,P005599,2026-01-01 00:10:00,email,NHS prescription,"Dear team, I cannot update something in the app asap",change_delivery_address,Account management,Account,Delivery address needs update,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000003,P000027,2026-01-01 00:20:49,live_chat,NHS prescription,hi - Please send future prescrptions to my new address please,change_delivery_address,Account management,Account,Delivery address needs update,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000004,P002152,2026-01-01 00:21:19,phone_transcript,NHS prescription,"please can you help, The prescrption is ready but has not left the warehouse!!!",not_dispatched,Dispatch and delivery,Packing,Order packed but not dispatched,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000005,P001484,2026-01-01 00:40:39,phone_transcript,NHS prescription,hello um The order is stuck at clinical review please,clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000006,P000524,2026-01-01 00:43:53,live_chat,NHS prescription,"Your text message does not match my account Also, The app did not remind me to request my tablets please",wrong_notification,Reminders and notifications,Notifications,Incorrect or confusing message,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000007,P004156,2026-01-01 00:52:16,email,NHS prescription,"Hi support, I forgot my password and cannot access my prescrption thanks My phone is 07407522280",login_issue,Account management,Account,Account access problem,negative,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000008,P006473,2026-01-01 01:01:05,email,NHS prescription,Please help. The prescription is ready but has not left the warehouse!!!,not_dispatched,Dispatch and delivery,Packing,Order packed but not dispatched,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000009,P007292,2026-01-01 01:15:57,email,NHS prescription,"Hello, My repeat medicine request does not look right asap",prescription_not_received,Prescription request,Request,Prescription request not visible,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000010,P002777,2026-01-01 01:57:22,phone_transcript,NHS prescription,"please can you help, Please send me the tracking link for my parcel!!!",delivery_tracking,Dispatch and delivery,Dispatched,Customer requests tracking details,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000011,P000377,2026-01-01 02:12:41,email,NHS prescription,"Hi support, The app says it is too soon but I need my tablets before holiday asap order no P2U-313859",early_repeat_request,Prescription request,Request,Request submitted earlier than expected,neutral,standard,Human adviser,False,False,False,standard_known_intent,False
C0000012,P001151,2026-01-01 02:16:41,phone_transcript,NHS prescription,right so Can you check the pharmacy processing step?,clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000013,P001402,2026-01-01 02:20:52,phone_transcript,NHS prescription,"pls can you help, The parcel is missing even though it says delivered please My phone is 07555657749",parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,standard,Human adviser,False,False,False,standard_known_intent,False
C0000014,P002284,2026-01-01 02:21:49,phone_transcript,NHS prescription,right so Can I reorder my regular medicine through the app? asap,repeat_prescription_request,Prescription request,Request,Routine repeat request,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000015,P001878,2026-01-01 02:28:59,email,NHS prescription,"Hi support, The order is stuck at clinical review thanks",clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000016,P005758,2026-01-01 02:43:46,email,NHS prescription,"Hello, Can I reorder my regular medicine through the app? Also, I am going away next week, can I order my medication early? thanks",repeat_prescription_request,Prescription request,Request,Routine repeat request,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000017,P004687,2026-01-01 02:48:15,live_chat,NHS prescription,"hello One item is out of stock, when will it be available? asap",medicine_unavailable,Clinical and dispensing,Dispensing,Stock availability issue,negative,priority,Human adviser,False,False,False,standard_known_intent,False
C0000018,P005630,2026-01-01 02:52:37,app_review,NHS prescription,My medicine order has not arrived yet thanks,not_dispatched,Dispatch and delivery,Packing,Order packed but not dispatched,negative,priority,Proactive message,False,True,True,standard_known_intent,False
C0000019,P000616,2026-01-01 02:53:37,phone_transcript,NHS prescription,hi I am calling because The prescription is ready but has not left the warehouse,not_dispatched,Dispatch and delivery,Packing,Order packed but not dispatched,negative,standard,Proactive message,False,True,True,standard_known_intent,False
C0000020,P003311,2026-01-01 03:05:45,phone_transcript,NHS prescription,right so I have a question about something on the site please,unclear_or_out_of_scope,Out-of-scope,Unknown,Insufficient information,neutral,standard,Human adviser,False,False,False,standard_known_intent,False
C0000021,P001426,2026-01-01 03:11:16,live_chat,NHS prescription,hello The app did not remind me to request my tablets.,reminder_missing,Reminders and notifications,Notifications,Reorder reminder not received,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000022,P002535,2026-01-01 03:11:39,phone_transcript,NHS prescription,"hi I am calling cos How do I order my repeat prescription? Also, I am going away next week, can I order my medication early?.",repeat_prescription_request,Prescription request,Request,Routine repeat request,neutral,standard,FAQ self-service,False,True,False,standard_known_intent,False
C0000023,P003273,2026-01-01 03:25:11,app_review,NHS prescription,Please fix this: Tracking says delivered but there is no parcel here please,parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,negative,priority,Human adviser,False,False,False,standard_known_intent,False
