intent,category,journey_stage,root_cause,default_route,safety_sensitive,chatbot_eligible,proactive_candidate
repeat_prescription_request,Prescription request,Request,Routine repeat request,FAQ self-service,False,True,False
early_repeat_request,Prescription request,Request,Request submitted earlier than expected,Human adviser,False,False,False
prescription_not_received,Prescription request,Request,Prescription request not visible,Human adviser,False,False,False
waiting_gp_approval,GP approval,Await GP approval,GP approval pending,Proactive message,False,True,True
gp_declined_request,GP approval,Await GP approval,GP declined or changed request,Human adviser,False,False,False
clinical_review_delay,Clinical and dispensing,Clinical review,Pharmacist review pending,Human adviser,False,False,False
medicine_unavailable,Clinical and dispensing,Dispensing,Stock availability issue,Human adviser,False,False,False
split_order_request,Clinical and dispensing,Dispensing,One item delays a multi-item order,Human adviser,False,False,False
not_dispatched,Dispatch and delivery,Packing,Order packed but not dispatched,Proactive message,False,True,True
delivery_tracking,Dispatch and delivery,Dispatched,Customer requests tracking details,FAQ self-service,False,True,False
delivery_delayed,Dispatch and delivery,Delivery,Carrier delay after dispatch,Proactive message,False,True,True
parcel_not_received,Dispatch and delivery,Delivery,Parcel marked delivered or overdue,Human adviser,False,False,False
change_delivery_address,Account management,Account,Delivery address needs update,FAQ self-service,False,True,False
login_issue,Account management,Account,Account access problem,FAQ self-service,False,True,False
reminder_missing,Reminders and notifications,Notifications,Reorder reminder not received,FAQ self-service,False,True,False
wrong_notification,Reminders and notifications,Notifications,Incorrect or confusing message,Human adviser,False,False,False
complaint_service,Service access,Service,General service complaint,Human adviser,False,False,False
refund_query,Online Doctor and shop,Shop or Online Doctor,Refund progress query,FAQ self-service,False,True,False
online_doctor_order_status,Online Doctor and shop,Shop or Online Doctor,Private service order status,FAQ self-service,False,True,False
urgent_ran_out_medicine,Safety-sensitive,Urgent support,Customer reports no medicine remaining,Clinical escalation,True,False,False
possible_adverse_effect,Safety-sensitive,Urgent support,Possible adverse effect or clinical concern,Clinical escalation,True,False,False
unclear_or_out_of_scope,Out-of-scope,Unknown,Insufficient information,Human adviser,False,False,False
